State,AvgTemp
Alabama,78.6
Alaska,52.3
Arizona,78.1
Arkansas,78.8
California,73.4
Colorado,65.2
Connecticut,69.2
Delaware,74.2
Florida,81
Georgia,78.7
Hawaii,72.2
Idaho,63.7
Illinois,73.4
Indiana,72.4
Iowa,71.6
Kansas,76.4
Kentucky,74.5
Louisiana,81.1
Maine,63.7
Maryland,73.3
Massachusetts,68
Michigan,66.2
Minnesota,66.8
Mississippi,79.5
Missouri,75.4
Montana,64.2
Nebraska,71.8
Nevada,69
New Hampshire,65.5
New Jersey,72.2
New Mexico,71.4
New York,66.5
North Carolina,75.7
North Dakota,66.6
Ohio,70.9
Oklahoma,79.6
Oregon,63.7
Pennsylvania,68.6
Rhode Island,68.8
South Carolina,78.4
South Dakota,69.9
Tennessee,75.6
Texas,81.1
Utah,69.6
Vermont,65.1
Virginia,73.2
Washington,63.8
West Virginia,70.2
Wisconsin,66.8
Wyoming,63.5